,Comment,Likes,Time,UserLink,user
90,Gila sih penggalan lagu2nya di satukan sama kejdian menunggu paket datang. Mantep sih konsepnya gojek pasti ada aja jalan buat nambahin customer nye nyenengin customer nya 🤣,6,2 months ago,/channel/UCIcRtXDmAZMdgOoDfUqDOAw,Taufiqurrahman Oppo
91,baru dengar bang boriel teriaknya lepas keren.,36,2 months ago,/channel/UCzry02onFjXbJz7LMNwIMjA,Naura Family
92,Keren iklannya sampai ngak aku skip😂,16,2 months ago,/channel/UC6_T5FycowFAVcfWDMQtr4w,Dini Lestari
93,Ayo bang boriel keluarkan bakat2 lawakmu🤭 selanjutnya ditunggu loh eheheh,40,2 months ago,/channel/UCyZyBtLlYdYMaPctHYg4iig,Ismi Ranuri
94,Luar biasa keren kreasi Go-Jek x Noah,6,2 months ago,/channel/UCAK_WOg31w2QajsRcl5byQQ,Novian Syah
95,Jadi in brand ambasador nya gosend donk..😍😍,24,2 months ago,/channel/UCJ5RWeLA8_og4Cxlt69YunQ,NyiT_ NyiT
96,"Gokil sih ini tim kreatif nya👍👍👍, biasanya klo iklan di skip... Haha😂",7,2 months ago,/channel/UCEktPEi8aQPal950z4cENwA,Musisi AbalAbal
97,"Girl : ""mirip Ariel yah""
Boy : ""ah enggak jauh""",18,2 months ago (edited),/channel/UCsBf6BfQqllZR7MtKyxNRXg,Bagas Setiawan
98,Narasinya gokiillllll 👏👏👏👏,62,2 months ago,/channel/UC6JHI9oEHqXzg5OP_HYJDaw,Laaaaaaa
99,"liat berkali2 nggk bosen ,masih senyum2 sndiri",6,2 months ago,/channel/UCl35E04EC84vLCAbZoN9OhA,Nanik Rohmah
100,Suarx itu lho yaa allah mantul bgett sukses trz kk arieel..💞,26,2 months ago,/channel/UC9laKbGLQLg4hC6h8umtfQA,nur naila
101,Aduh emang keren deh Karya anak Indonesia bangga bgt 😂. Karna sepatuh aku disini 😂,7,2 months ago (edited),/channel/UCjmGKATrAXsDB_yggGAeDTw,Nur Siti Holilah
102,"Pas lihat....( paket ini bukan aku pemiliknya )...
Auto ngakak lihat ekspresi boriel😂😂😂",23,2 months ago,/channel/UCKtVCID8C-TpH4H2w00Tjag,Muis rt 08
103,Iklan apapun asal BA nya Ariel Noah ga akan di skip. Malah ditonton berulang ulang kali wkwwkw,13,2 months ago,/channel/UCClrYR0ypJIEyfVRh7ntaRw,Nazhar Shiddiq
104,Kereeen. Ditonton berulang kali tetep aja ngakak 🤣,8,2 months ago,/channel/UCFII0xWmWEh-R4gKSrMKqAg,Nof K
105,"Baru kali ini nonton iklan diulang-ulang, biasanya langsung skip hahaha...",18,2 months ago,/channel/UC4cBsskZJnZHsv1jvYcieUQ,Nawa R
